feature,importance
candidate_cuisine_tag,7609
user_dessert_rate_30d,4330
user_drink_rate_30d,4247
weather_temp_c,4053
candidate_margin_score,3656
candidate_revenue_potential,3634
user_avg_order_value,3622
user_price_upgrade_tendency,3596
pair_max_lift,3240
aov_lift_if_added,2889
user_median_item_price_90d,2775
user_addon_rate_30d,2570
price_delta_cart_avg,2455
hour,2261
cart_total,2045
rest_avg_margin,1960
candidate_calories,1958
candidate_price,1818
user_orders_per_month,1705
user_days_since_last_order,1603
candidate_popularity,1492
user_orders_30d,1377
weather_drink_affinity,1224
rest_rating,1109
user_segment,737
city,714
user_orders_7d,603
candidate_slot_urgency,501
meal_slot,477
step,432
rest_cuisine,416
candidate_category,416
cart_momentum,352
rest_price_tier,338
user_is_veg,310
user_addon_rate_this_slot,303
user_ordered_before,302
has_drink,193
has_dessert,183
has_main,174
has_side,169
candidate_is_veg,151
has_snack,130
candidate_in_price_sweet_spot,127
cart_size,84
pair_seen_before_flag,42
is_hot_weather,14
is_cold_start,4
user_cuisine_affinity,0
